IATA,ICAO,Airline,Callsign,Country
0A,GNT,Amber Air,GINTA,Lithuania
0B,BLA,Blue Air,BLUE AIR,Romania
0C,IBL,IBL Aviation,CATOVAIR,Mauritius
0D,DWT,Darwin Airline,DARWIN,Switzerland
0J,JCS,Jetclub,JETCLUB,Switzerland
0V,VFC,Vietnam Air Services Company (VASCO),VASCO AIR,Vietnam
1A,AGT,Amadeus IT Group,AMADEUS,Spain
1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
1I,EJA,NetJets,EXECJET,United States
1I,NJE,NetJets Europe,FRACTION,Portugal
1I,NVR,Novair,NAVIGATOR,Sweden
1I,PZR,Sky Trek International Airlines,PHAZER,United States
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria
1Z,APD,Sabre Pacific,,Australia
2B,AWT,Albawings,ALBAWINGS,Albania
2D,AOG,Aero VIP,AVIP,Argentina
2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States
2G,CRG,Cargoitalia,WHITE PELICAN,Italy
2G,MRR,San Juan Airlines,MARINER,United States
2J,VBW,Air Burkina,BURKINA,Burkina Faso
2K,GLG,Aerogal,AEROGAL,Ecuador
2L,OAW,Helvetic Airways,HELVETIC,Switzerland
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
2N,NTJ,NextJet,NEXTJET,Sweden
2N,UMK,Yuzhmashavia,YUZMASH,Ukraine
2O,RNE,Air Salone,AIR SALONE,Sierra Leone
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States
2S,SDY,Island Express,SANDY ISLE,United States
2S,TGR,Satgur Air Transport,SATGURAIR,Liberia
2T,HAM,Haiti Ambassador Airlines,,Haiti
2T,TBS,Timbis Air,,Kenya
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea
2W,WLC,Welcome Air,WELCOMEAIR,Austria
2Z,CGN,Chang An Airlines,CHANGAN,China
3C,CEA,RegionsAir,CORP-X,United States
3C,CMV,Calima Aviación,CALIMA,Spain
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
3J,AAQ,Air Alliance,LIAISON,Canada
3J,JUB,Jubba Airways,,Kenya
3J,WZP,Zip,ZIPPER,Canada
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
3L,ISK,Intersky,INTERSKY,Austria
3N,URG,Air Urga,URGA,Ukraine
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
3P,TNM,Tiara Air,TIARA,Aruba
3Q,CYH,China Yunnan Airlines,YUNNAN,China
3Q,KCH,KC International Airlines,CAM AIR,Cambodia
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
3S,AEN,Aeroland Airways,,Greece
3S,BOX,Aerologic,GERMAN CARGO,Germany
3S,GUY,Air Guyane Express,GREEN BIRD,French Guyana
3T,URN,Turan Air,TURAN,Azerbaijan
3U,CSC,Sichuan Airlines,SI CHUAN,China
3V,TAY,TNT Airways,QUALITY,Belgium
3W,EMX,Euromanx Airways,EUROMANX,Austria
3W,VNR,Wan Air,WANAIR,French Polynesia
3X,JAC,Japan Air Commuter,COMMUTER,Japan
4A,AKL,Air Kiribati,,Kiribati
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia
4D,ASD,Air Sinai,AIR SINAI,Egypt
4F,ECE,Air City,AIRCITY,Germany
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia
4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh
4K,AAS,Askari Aviation,AL-ASS,Pakistan
4M,DSM,LATAM Argentina,LAN AR,Argentina
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada
4O,AIJ,Interjet,ABC Aerolineas,Mexico
4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
4R,HHI,Hamburg International,HAMBURG JET,Germany
4R,SEK,Star East Airline,,Romania
4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo
4T,BHP,Belair Airlines,BELAIR,Switzerland
4U,GWI,Germanwings,GERMAN WINGS,Germany
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
4Y,BGA,Airbus Transport International,BELUGA,France
4Y,RBU,Airbus France,AIRBUS FRANCE,France
4Y,UYA,Yute Air Alaska,,United States
5A,AIP,Alpine Air Express,ALPINE AIR,United States
5C,ICL,CAL Cargo Air Lines,CAL,Israel
5D,SLI,Aeroméxico Connect,COSTERA,Mexico
5D,UDC,DonbassAero,DONBASS AERO,Ukraine
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States
5F,FIA,Fly One,Fly One,Moldova
5G,SSV,Skyservice Airlines,SKYTOUR,Canada
5J,CEB,Cebu Pacific,CEBU,Philippines
5K,HFY,Hi Fly,SKY FLYER,Portugal
5L,RSU,AeroSur,AEROSUR,Bolivia
5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat
5M,SIB,Sibaviatrans,SIBAVIA,Russia
5N,AUL,Nordavia,ARCHANGELSK AIR,Russia
5O,FPO,Europe Airpost,FRENCH POST,France
5P,LLX,Small Planet Airlines,GERMANJET,Germany
5T,MPE,Canadian North,EMPRESS,Canada
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
5W,AEU,Astraeus,FLYSTAR,United Kingdom
5X,UPS,United Parcel Service,UPS,United States
5Y,GTI,Atlas Air,GIANT,United States
5Z,AFX,Airfreight Express,,United Kingdom
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh
5Z,GON,Gonini Air Services,GONINI,Suriname
5Z,KEM,CemAir,CEMAIR,South Africa
6A,CHP,Aviacsa,AVIACSA,Mexico
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden
6E,IGO,IndiGo Airlines,IFLY,India
6G,AWW,Air Wales,RED DRAGON,United Kingdom
6H,ISR,Israir,ISRAIR,Israel
6I,IBZ,International Business Air,INTERBIZ,Sweden
6J,JUB,Jubba Airways,JUBBA,Somalia
6J,SNJ,Skynet Asia Airways,NEWSKY,Japan
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines
6N,NIN,Niger Airlines,NIGER AIRLINES,Niger
6N,NRD,Nordic Regional,NORTH RIDER,Sweden
6P,ISG,Club Air,CLUBAIR,Italy
6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia
6R,DRU,Alrosa Air Company,MIRNY,Russia
6U,ACX,Air Cargo Germany,LOADMASTER,Germany
6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine
6V,AXY,Axis Airways,AXIS,France
6V,MRW,Mars RK,AVIAMARS,Ukraine
6V,VGA,Air Vegas,AIR VEGAS,United States
6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia
6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
7A,XRC,Express Air Cargo,,Tunisia
7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom
7C,JJA,Jeju Air,JEJU AIR,Republic of Korea
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany
7F,FAB,First Air,FIRST AIR,Canada
7G,SFJ,Star Flyer,STARFLYER,Japan
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia
7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan
7L,ERO,Sun D'Or,ECHO ROMEO,Israel
7M,MYI,Mayair,MAYAIR,Mexico
7N,PWD,Pawa Dominicana,Pawa Dominicana,Dominican Republic
7N,PWD,PAWA Dominicana,,Dominican Republic
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan
7O,TVL,Travel Service,TRAVEL SERVICE,Hungary
7R,BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil
7S,RCT,Ryan Air Service,ARCTIC TRANSPORT,United States
7S,RYA,Ryan Air Services,RYAN AIR,United States
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland
7T,TOB,Tobruk Air,TOBRUK AIR,Libya
7W,QGA,Windrose Air,QUADRIGA,Germany
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco
8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda
8C,ATN,Air Transport International,AIR TRANSPORT,United States
8C,CXI,Shanxi Airlines,SHANXI,China
8C,HZT,Air Horizon,HORIZON TOGO,Togo
8D,EXV,FitsAir,EXPOAVIA,Sri Lanka
8D,SUW,Astair,,Russian Federation
8E,BRG,Bering Air,BERING AIR,United States
8F,FFR,Fischer Air,FISCHER,Czech Republic
8H,BGH,BH Air,BALKAN HOLIDAYS,Bulgaria
8J,KMV,Komiinteravia,KOMIINTER,Russia
8L,CGP,Cargo Plus Aviation,,United Arab Emirates
8L,RHC,Redhill Aviation,REDAIR,United Kingdom
8M,MMA,Myanmar Airways International,MYANMAR,Myanmar
8M,MXL,Maxair,MAXAIR,Sweden
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden
8O,YWZ,West Coast Air,COAST AIR,Canada
8P,PCO,Pacific Coastal Airlines,PASCO,Canada
8Q,BAJ,Baker Aviation,RODEO,United States
8Q,OHY,Onur Air,ONUR AIR,Turkey
8T,TID,Air Tindi,,Canada
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya
8V,WRF,Wright Air Service,WRIGHT FLYER,United States
8W,EDR,Fly All Ways,BIRDVIEW,Suriname
8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany
8Y,CYZ,China Postal Airlines,CHINA POST,China
8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi
8Z,WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria
9A,EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia
9C,CQH,Spring Airlines,AIR SPRING,China
9E,EDV,Endeavor Air,ENDEAVOR,United States
9E,FLG,Pinnacle Airlines,FLAGSHIP,United States
9I,HTA,Helitrans,SCANBIRD,Norway
9I,LLR,Air India Regional,ALLIED,India
9I,LLR,Thai Sky Airlines,THAI SKY AIR,Thailand
9K,KAP,Cape Air,CAIR,United States
9L,CJC,Colgan Air,COLGAN,United States
9M,GLR,Central Mountain Air,GLACIER,Canada
9Q,PBA,PB Air,PEEBEE AIR,Thailand
9R,VAP,Phuket Air,PHUKET AIR,Thailand
9T,ABS,Transwest Air,ATHABASKA,Canada
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
9V,VPA,Vipair Airlines,VIAIR,Kazakhstan
9W,JAI,Jet Airways,JET AIRWAYS,India
9Y,FGE,Fly Georgia,GEORGIA WING,Georgia
A0,MCJ,Avianca Argentina,JETMAC,Argentina
A2,AZI,Astra Airlines,ASTRA,Greece
A2,CIU,Cielos Airlines,CIELOS,Peru
A3,AEE,Aegean Airlines,AEGEAN,Greece
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina
A5,HOP,Hop!,AIR HOP,France
A5,RLA,Airlinair,AIRLINAIR,France
A6,HTU,Hongtu Airlines,HONGLAND,China
A6,LPV,Air Alps Aviation,ALPAV,Austria
A7,MPD,Air Plus Comet,RED COMET,Spain
A8,BGL,Benin Golf Air,BENIN GOLF,Benin
A8,XAU,Aerolink Uganda,PEARL,Uganda
A9,TGZ,Georgian Airways,TAMAZI,Georgia
AA,AAL,American Airlines,AMERICAN,United States
AB,BER,Air Berlin,AIR BERLIN,Germany
AC,ACA,Air Canada,AIR CANADA,Canada
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil
AD,PRZ,Air Paradise International,RADISAIR,Indonesia
AE,AE,Air Ceylon,,Sri Lanka
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan
AF,AFR,Air France,AIRFRANS,France
AG,ARU,Aruba Airlines,ARUBA,Aruba
AH,DAH,Air Algérie,AIR ALGERIE,Algeria
AI,AIC,Air India Limited,AIRINDIA,India
AJ,NIG,Aero Contractors,AEROLINE,Nigeria
AK,ABR,Air Bridge Carriers,AIRBRIDGE,United Kingdom
AK,AXM,AirAsia,RED CAP,Malaysia
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus
AM,AMX,Aeroméxico,AEROMEXICO,Mexico
AN,AAA,Ansett Australia,ANSETT,Australia
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia
AP,LAV,AlbaStar,ALBASTAR,Spain
AQ,AAH,Aloha Airlines,ALOHA,United States
AQ,MPJ,MAP-Management and Planung,MAPJET,Austria
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina
AV,AVA,Avianca,AVIANCA,Colombia
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana
AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia
AW,SCH,CHC Airways,SCHREINER,Netherlands
AX,LOF,Trans States Airlines,WATERSKI,United States
AY,FIN,Finnair,FINNAIR,Finland
AZ,AZA,Alitalia,ALITALIA,Italy
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria
B4,BCF,BACH Flugbetriebsges,BACH,Austria
B4,BKA,Bankair,BANKAIR,United States
B5,FLT,Flightline,FLIGHTLINE,United Kingdom
B6,JBU,JetBlue Airways,JETBLUE,United States
B7,UIA,UNI Air,GLORY,Taiwan
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh
BA,BAW,British Airways,SPEEDBIRD,United Kingdom
BB,SBS,Seaborne Airlines,SEABORNE,United States
BC,SKY,Skymark Airlines,SKYMARK,Japan
BD,BMA,BMI,MIDLAND,United Kingdom
BE,BEE,Flybe,JERSEY,United Kingdom
BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei
BJ,LBT,Nouvel Air Tunisie,NOUVELAIR,Tunisia
BK,PDC,Potomac Air,DISTRICT,United States
BL,PIC,Pacific Airlines,PACIFIC AIRLINES,Vietnam
BM,BMR,BMI Regional,MIDLAND,United Kingdom
BN,BNF,Braniff International Airways,Braniff,United States
BN,HZA,Horizon Airlines,HORIZON,Australia
BO,BBD,Bluebird Nordic,BLUE CARGO,Iceland
BO,BBW,BB Airways,BEEBEE AIRWAYS,Nepal
BO,BOU,Bouraq Indonesia Airlines,BOURAQ,Indonesia
BP,BOT,Air Botswana,BOTSWANA,Botswana
BQ,BTL,Baltia Air Lines,BALTIA,United States
BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic
BR,EVA,EVA Air,EVA,Taiwan
BS,BIH,British International Helicopters,BRINTEL,United Kingdom
BS,UBG,US-Bangla Airlines,BANGLA STAR,Bangladesh
BT,BTI,Air Baltic,AIRBALTIC,Latvia
BU,BUN,Buryat Airlines Aircompany,BURAL,Russia
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago
BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago
BX,ABL,Air Busan,AIR BUSAN,Republic of Korea
BX,CST,Coast Air,COAST CENTER,Norway
BY,TOM,Thomson Airways,TUI AIR,United Kingdom
BZ,BDA,Blue Dart Aviation,BLUE DART,India
BZ,KEE,Keystone Air Service,KEYSTONE,Canada
C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
C5,UCA,CommutAir,COMMUTAIR,United States
C6,CJA,CanJet,CANJET,Canada
C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka
C7,RLE,Rico Linhas Aéreas,RICO,Brazil
C8,ICV,Cargolux Italia,CARGO MED,Italy
C8,WDY,Chicago Jet Group,WINDY CITY,United States
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany
CA,CCA,Air China,AIR CHINA,China
CB,KFS,Kalitta Charters II,KALITTA,United States
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
CC,MCK,Macair Airlines,,Australia
CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands
CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa
CF,SDR,City Airline,SWEDESTAR,Sweden
CG,TOK,Airlines PNG,BALUS,Papua New Guinea
CH,BMJ,Bemidji Airlines,BEMIDJI,United States
CI,CAL,China Airlines,DYNASTY,Taiwan
CJ,CBF,China Northern Airlines,CHINA NORTHERN,China
CJ,CFE,BA CityFlyer,FLYER,United Kingdom
CJ,CFE,CityFlyer Express,FLYER,United Kingdom
CK,CKK,China Cargo Airlines,CARGO KING,China
CL,CLH,Lufthansa CityLine,HANSALINE,Germany
CM,CMP,Copa Airlines,COPA,Panama
CN,WWD,Westward Airways,WESTWARD,United States
CO,COA,Continental Airlines,CONTINENTAL,United States
CP,CDN,Canadian Airlines,CANADIAN,Canada
CP,CPC,Canadian Pacific Airlines,EMPRESS,Canada
CP,CPZ,Compass Airlines,COMPASS ROSE,United States
CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic
CQ,EXL,Sunshine Express Airlines,,Australia
CS,CMI,Continental Micronesia,AIR MIKE,United States
CT,CAT,Civil Air Transport,Mandarin,Taiwan
CU,CUB,Cubana de Aviación,CUBANA,Cuba
CV,CLX,Cargolux,CARGOLUX,Luxembourg
CV,CVA,Air Chathams,CHATHAM,New Zealand
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
CX,CPA,Cathay Pacific,CATHAY,Hong Kong
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China
D0,DHK,DHL Air Limited,WORLD EXPRESS,United Kingdom
D2,SSF,Severstal Air Company,SEVERSTAL,Russia
D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti
D4,LID,Alidaunia,ALIDA,Italy
D5,DAU,Dauair,DAUAIR,Germany
D6,ILN,Interair South Africa,INLINE,South Africa
D7,XAX,AirAsia X,XANADU,Malaysia
D7,XFA,FlyAsianXpress,FAX AIR,Malaysia
D8,IBK,Norwegian Air International,NORTRANS,Ireland
D8,IBK,Norwegian Air International (Norway),NORTRANS,Norway
D9,DNV,Donavia,DONAVIA,Russia
DA,GRG,Air Georgia,AIR GEORGIA,Georgia
DB,BZH,Brit Air,BRITAIR,France
DC,GAO,Golden Air,GOLDEN,Sweden
DD,DDL,Danish Air Lines,,Denmark
DD,NOK,Nok Air,NOK AIR,Thailand
DE,CFG,Condor Flugdienst,CONDOR,Germany
DG,SRQ,Cebgo,BLUE JAY,Philippines
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States
DH,IDE,Independence Air,INDEPENDENCE AIR,United States
DH,NAN,Norwegian Air Norway,NORSHIP,Norway
DI,BAG,Dba,SPEEDWAY,Germany
DI,NRS,Norwegian Air UK,REDNOSE,United Kingdom
DJ,PBN,Pacific Blue,BLUEBIRD,New Zealand
DJ,PLB,Polynesian Blue,POLYBLUE,New Zealand
DJ,WAJ,AirAsia Japan,WING ASIA,Japan
DK,ELA,Eastland Air,,Australia
DL,DAL,Delta Air Lines,DELTA,United States
DN,NAA,Norwegian Air Argentina,NORUEGA,Argentina
DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic
DP,FCA,First Choice Airways,JETSET,United Kingdom
DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland
DT,DTA,TAAG Angola Airlines,DTA,Angola
DU,NLH,Norwegian Long Haul,NORSTAR,Norway
DV,ACK,Nantucket Airlines,ACK AIR,United States
DV,VSV,Scat Air,VLASTA,Kazakhstan
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
DX,DTR,DAT Danish Air Transport,DANISH,Denmark
DY,NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway
E0,ESS,Eos Airlines,NEW DAWN,United States
E2,EWE,Eurowings Europe,EUROWINGS,Austria
E2,GRN,Rio Grande Air,GRANDE,United States
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia
E3,VGO,Sabaidee Airways,VIRGO,Thailand
E4,RSO,Aero Asia International,AERO ASIA,Pakistan
E5,BRZ,Samara Airlines,BERYOZA,Russia
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom
E7,ESF,Estafeta Carga Aérea,,Mexico
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy
E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States
EA,EAL,Eastern Air Lines,EASTERN,United States
EA,EAL,European Air Express,STAR WING,Germany
EC,EJU,easyJet Europe,ALPINE,Austria
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan
ED,ABQ,Airblue,PAKBLUE,Pakistan
EE,EAY,Aero Airlines,REVAL,Estonia
EG,JAA,Japan Asia Airways,ASIA,Japan
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
EH,SET,SAETA,SAETA,Ecuador
EI,EIN,Aer Lingus,SHAMROCK,Ireland
EJ,NEA,New England Airlines,NEW ENGLAND,United States
EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates
EL,ANK,Air Nippon,ANK AIR,Japan
EL,ELB,Ellinair,ELLINAIR HELLAS,Greece
EM,AEB,Aero Benin,AEROBEN,Benin
EM,CFS,Empire Airlines,EMPIRE AIR,United States
EN,DLA,Air Dolomiti,DOLOMITI,Italy
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo
EO,LHN,Express One International,LONGHORN,United States
EP,IRC,Iran Aseman Airlines,ASEMAN,Iran
EQ,TAE,TAME,TAME,Ecuador
ER,DHL,Astar Air Cargo,D-H-L,United States
ES,DHX,DHL International,DILMUN,Bahrain
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States
EV,ASQ,ExpressJet,ACEY,United States
EW,EWG,Eurowings,EUROWINGS,Germany
EX,BJK,Atlantic Airlines,BLACKJACK,United States
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic
EY,EFL,Eagle Air,FLYING EAGLE,Tanzania
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States
EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark
F2,FLM,Fly Air,FLY WORLD,Turkey
F3,FSW,Faso Airways,FASO,Burkina Faso
F4,NBK,Albarka Air,AL-AIR,Nigeria
F5,COZ,Cosmic Air,COSMIC AIR,Nepal
F6,RCK,FaroeJet,ROCKROSE,Faroe Islands
F7,BBO,Flybaboo,BABOO,Switzerland
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States
FA,SFR,Safair,CARGO,South Africa
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria
FC,WBA,Finncomm Airlines,WESTBIRD,Finland
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand
FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan
FE,WCP,Primaris Airlines,WHITECAP,United States
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey
FH,FUA,Futura International Airways,FUTURA,Spain
FI,ICE,Icelandair,ICEAIR,Iceland
